"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","So Proud https://t.co/pCJCvph2Xr",FALSE,124832,NA,2016-08-12 23:21:39,FALSE,NA,"764240462630756353",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",25031,FALSE,FALSE,NA,NA
"2","Herzog on Famous https://t.co/mFd0lfJDo0",FALSE,5238,NA,2016-08-12 19:55:18,FALSE,NA,"764188533103947776",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",1874,FALSE,FALSE,NA,NA
"3","NEW MENS MILITARY BOOT  https://t.co/ZgwsiV4eIh",FALSE,9742,NA,2016-08-01 16:08:42,FALSE,NA,"760145240917508096",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",2941,FALSE,FALSE,NA,NA
"4","First music video that is also an ad campaign directed by Steven Klein for @BALMAIN https://t.co/VJwvkKEx1i",FALSE,14285,NA,2016-08-01 03:32:15,FALSE,NA,"759954870409367552",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",4248,FALSE,FALSE,NA,NA
"5","I forgot to add Daniel Ek",FALSE,12286,NA,2016-07-31 04:48:32,FALSE,NA,"759611680514990080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kanyewest",2405,FALSE,FALSE,NA,NA
"6","Apple give Jay his check for Tidal now and stop trying to act like you Steve.",FALSE,45059,NA,2016-07-30 18:02:15,FALSE,NA,"759449038097747968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",19731,FALSE,FALSE,NA,NA
"7","Fuck all this dick swinging contest. We all gon be dead in 100 Years. Let the kids have the music.",FALSE,131100,NA,2016-07-30 17:15:26,FALSE,NA,"759437257099010048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kanyewest",76907,FALSE,FALSE,NA,NA
"8","I need Tim Cook Jay Z Dez Jimmy Larry me and Drake Scooter on the phone or in a room this week!!!",FALSE,29038,NA,2016-07-30 17:12:29,FALSE,NA,"759436516389117952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kanyewest",12120,FALSE,FALSE,NA,NA
"9","This Tidal Apple beef is fucking up the music game.",FALSE,51506,NA,2016-07-30 17:10:28,FALSE,NA,"759436006810460160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kanyewest",26950,FALSE,FALSE,NA,NA
"10","ASK SOMEBODY https://t.co/y4BjwvEUgD",FALSE,14268,NA,2016-07-27 19:28:39,FALSE,NA,"758383618267881472",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",5275,FALSE,FALSE,NA,NA
"11","EVERYBODY LOOKING https://t.co/qbPFjPm7cg",FALSE,77486,NA,2016-07-26 00:02:16,FALSE,NA,"757727703160139776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kanyewest",33458,FALSE,FALSE,NA,NA
"12","https://t.co/rUzbVLuBH5",FALSE,11621,NA,2016-07-22 20:10:55,FALSE,NA,"756582317762555904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kanyewest",5101,FALSE,FALSE,NA,NA
"13","I'm so happy for @tmillsfashion with the launch of his new site https://t.co/HZ7KgbESGP",FALSE,8312,NA,2016-07-16 06:28:50,FALSE,NA,"754201106213851137",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kanyewest",1541,FALSE,FALSE,NA,NA
