"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","got back to reviewing again Disclosure: “Moog For Love” https://t.co/tpXQIf9aeX ",FALSE,2,NA,2016-06-15 16:22:42,FALSE,NA,"743116533954674689",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mzhang13",0,FALSE,FALSE,NA,NA
"2","seeing  jam out to  on her Snapchat story made my day.",FALSE,3,NA,2016-05-28 20:12:58,FALSE,NA,"736651500122963968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mzhang13",0,FALSE,FALSE,NA,NA
"3"," super excited to hear about  you have the support of this STS '13 alum!",FALSE,0,"regeneron",2016-05-26 14:55:34,FALSE,NA,"735846848498442241","23077762","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mzhang13",0,FALSE,FALSE,NA,NA
"4"," thank you for your inspiring words tonight! I will try my best to never forget the curiosity that brought me to Intel STS.",FALSE,0,"neiltyson",2016-03-16 02:19:30,FALSE,NA,"709927038967099394","19725644","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mzhang13",0,FALSE,FALSE,NA,NA
"5","Happy  ",FALSE,0,NA,2016-03-10 16:05:37,FALSE,NA,"707960610617688068",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mzhang13",1,FALSE,FALSE,NA,NA
"6"," please come to Princetonnnnnnnnnnnnnnn",FALSE,0,"Trevornoah",2016-03-04 08:36:00,FALSE,NA,"705673132825300993","46335511","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mzhang13",0,FALSE,FALSE,NA,NA
"7"," i'm trying to submit my application but it says the Oracle Cloud service is down.. is there anything i can do?",FALSE,0,"BlizzardCareers",2016-01-30 11:23:43,FALSE,NA,"693394154613776384","171792810","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mzhang13",0,FALSE,FALSE,NA,NA
"8","just heard  on  what a time to be alive ",FALSE,0,NA,2015-11-04 18:10:14,FALSE,NA,"661968711365062657",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mzhang13",0,FALSE,FALSE,NA,NA
"9","super cool map showing how segregation looks. http://t.co/X0ZpplLCi1 ",FALSE,0,NA,2015-09-05 14:24:49,FALSE,NA,"640168712880975874",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mzhang13",0,FALSE,FALSE,NA,NA
"10","ahhh  featured my http://t.co/utIMtuko0y blog post!! http://t.co/o6ePkR3h3L",FALSE,1,NA,2015-09-03 13:14:53,FALSE,NA,"639426338613534720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mzhang13",0,FALSE,FALSE,NA,NA
"11","  s/o to the bottom golden grillz",FALSE,2,"woobao",2015-08-26 01:53:22,FALSE,"636340334834884609","636355726420611072","153177511","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mzhang13",0,FALSE,FALSE,NA,NA
"12","check out what I've been working on during my internship! 
Explore Our Impact on Your Community! http://t.co/bfPIwz3C6a",FALSE,0,NA,2015-08-25 16:30:49,FALSE,NA,"636214156463575040",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mzhang13",0,FALSE,FALSE,NA,NA
"13"," yup and yup, though I might try to stay on volunteering when I can after summer.",FALSE,0,"mjagger1",2015-08-11 18:00:15,FALSE,"631110589864128512","631163233278263296","144307925","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mzhang13",0,FALSE,FALSE,NA,NA
"14"," hey Mr. Jackett, happy to see you sharing this! I don't know if I ever told you, but I intern at http://t.co/utIMtuko0y now!",FALSE,0,"mjagger1",2015-08-11 00:04:29,FALSE,"630875183918804992","630892507828719617","144307925","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mzhang13",0,FALSE,FALSE,NA,NA
"15","my first  blog post! http://t.co/fQSyoyvNug",FALSE,0,NA,2015-07-23 23:56:21,FALSE,NA,"624367479129808896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mzhang13",0,FALSE,FALSE,NA,NA
